aircraft_id,date,scheduled_flights,flight_hours,last_maintenance_date,days_since_last_maintenance,max_days_between_maintenance,maintenance_duration_days,maintenance_required,due_status,aircraft_type,base_airport,flight_intensity
TC-1001,2026-01-25,7,19.1,2025-12-10,46,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-26,2,7.74,2025-12-10,47,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-27,7,27.81,2025-12-10,48,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-28,5,15.88,2025-12-10,49,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-29,1,2.91,2025-12-10,50,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-30,4,15.35,2025-12-10,51,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1002,2026-01-01,1,3.99,2025-12-03,29,30,2,1,due_soon,B737-MAX,AYT,normal
TC-1002,2026-01-02,3,11.99,2025-12-03,30,30,2,1,due_soon,B737-MAX,AYT,normal
TC-1002,2026-01-03,2,7.59,2025-12-03,31,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-04,0,0.0,2025-12-03,32,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-05,1,2.4,2025-12-03,33,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-06,2,4.02,2025-12-03,34,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-07,0,0.0,2025-12-03,35,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-08,3,10.81,2025-12-03,36,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-09,4,9.61,2025-12-03,37,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-10,0,0.0,2025-12-03,38,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-11,3,10.41,2025-12-03,39,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-12,1,3.42,2025-12-03,40,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-13,2,6.47,2025-12-03,41,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-14,0,0.0,2025-12-03,42,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-15,1,2.18,2025-12-03,43,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-16,2,7.14,2025-12-03,44,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-17,2,7.78,2025-12-03,45,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-18,2,6.6,2025-12-03,46,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-19,2,5.62,2025-12-03,47,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-20,1,2.27,2025-12-03,48,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-21,1,2.86,2025-12-03,49,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-22,3,7.31,2025-12-03,50,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-23,2,5.67,2025-12-03,51,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-24,1,3.14,2025-12-03,52,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-25,4,14.3,2025-12-03,53,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-26,3,9.08,2025-12-03,54,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-27,5,13.14,2025-12-03,55,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-28,2,4.29,2025-12-03,56,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-29,1,2.56,2025-12-03,57,30,2,1,overdue,B737-MAX,AYT,normal
TC-1002,2026-01-30,1,2.63,2025-12-03,58,30,2,1,overdue,B737-MAX,AYT,normal
TC-1003,2026-01-01,1,3.65,2025-11-27,35,35,4,1,due_soon,A321,IST,heavy
TC-1003,2026-01-02,4,10.92,2025-11-27,36,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-03,8,19.34,2025-11-27,37,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-04,2,7.35,2025-11-27,38,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-05,6,12.96,2025-11-27,39,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-06,4,15.26,2025-11-27,40,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-07,1,2.58,2025-11-27,41,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-08,3,7.46,2025-11-27,42,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-09,5,13.67,2025-11-27,43,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-10,8,29.6,2025-11-27,44,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-11,3,8.39,2025-11-27,45,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-12,4,8.2,2025-11-27,46,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-13,4,10.22,2025-11-27,47,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-14,11,38.11,2025-11-27,48,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-15,8,17.98,2025-11-27,49,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-16,2,7.94,2025-11-27,50,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-17,4,12.44,2025-11-27,51,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-18,4,8.39,2025-11-27,52,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-19,7,17.28,2025-11-27,53,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-20,2,6.06,2025-11-27,54,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-21,2,7.58,2025-11-27,55,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-22,5,15.9,2025-11-27,56,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-23,3,6.51,2025-11-27,57,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-24,6,18.9,2025-11-27,58,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-25,6,16.38,2025-11-27,59,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-26,1,2.04,2025-11-27,60,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-27,6,15.41,2025-11-27,61,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-28,6,19.84,2025-11-27,62,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-29,3,11.25,2025-11-27,63,35,4,1,overdue,A321,IST,heavy
TC-1003,2026-01-30,7,25.4,2025-11-27,64,35,4,1,overdue,A321,IST,heavy
TC-1004,2026-01-01,2,6.25,2025-12-05,27,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-02,0,0.0,2025-12-05,28,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-03,3,11.76,2025-12-05,29,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-04,0,0.0,2025-12-05,30,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-05,1,2.91,2025-12-05,31,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-06,2,4.45,2025-12-05,32,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-07,1,3.4,2025-12-05,33,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-08,1,2.79,2025-12-05,34,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-09,1,2.22,2025-12-05,35,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-10,1,3.02,2025-12-05,36,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-11,2,7.12,2025-12-05,37,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-12,2,4.97,2025-12-05,38,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-13,2,5.32,2025-12-05,39,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-14,1,2.92,2025-12-05,40,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-15,1,2.09,2025-12-05,41,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-16,1,2.02,2025-12-05,42,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-17,1,2.22,2025-12-05,43,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-18,2,6.36,2025-12-05,44,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-19,1,3.71,2025-12-05,45,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-20,1,3.55,2025-12-05,46,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-21,3,9.62,2025-12-05,47,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-22,3,10.8,2025-12-05,48,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-23,1,2.83,2025-12-05,49,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-24,1,2.06,2025-12-05,50,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-25,1,2.33,2025-12-05,51,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-26,3,11.34,2025-12-05,52,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-27,1,2.29,2025-12-05,53,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-28,1,3.01,2025-12-05,54,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-29,1,2.03,2025-12-05,55,25,2,1,overdue,B737-800,ADB,normal
TC-1004,2026-01-30,2,7.59,2025-12-05,56,25,2,1,overdue,B737-800,ADB,normal
TC-1005,2026-01-01,4,12.76,2025-11-27,35,35,2,1,due_soon,A320,SAW,heavy
TC-1005,2026-01-02,3,9.57,2025-11-27,36,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-03,4,11.17,2025-11-27,37,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-04,7,25.14,2025-11-27,38,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-05,3,8.37,2025-11-27,39,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-06,3,7.2,2025-11-27,40,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-07,7,24.38,2025-11-27,41,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-08,7,16.86,2025-11-27,42,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-09,1,3.96,2025-11-27,43,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-10,6,16.91,2025-11-27,44,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-11,5,11.31,2025-11-27,45,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-12,4,8.79,2025-11-27,46,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-13,4,12.18,2025-11-27,47,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-14,2,5.93,2025-11-27,48,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-15,4,10.36,2025-11-27,49,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-16,7,18.26,2025-11-27,50,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-17,4,9.32,2025-11-27,51,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-18,4,10.37,2025-11-27,52,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-19,4,15.53,2025-11-27,53,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-20,2,5.06,2025-11-27,54,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-21,4,13.68,2025-11-27,55,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-22,5,11.61,2025-11-27,56,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-23,8,18.01,2025-11-27,57,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-24,5,12.53,2025-11-27,58,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-25,1,3.83,2025-11-27,59,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-26,5,19.89,2025-11-27,60,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-27,5,10.5,2025-11-27,61,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-28,7,22.95,2025-11-27,62,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-29,0,0.0,2025-11-27,63,35,2,1,overdue,A320,SAW,heavy
TC-1005,2026-01-30,1,2.92,2025-11-27,64,35,2,1,overdue,A320,SAW,heavy
TC-1006,2026-01-01,2,5.57,2025-12-24,8,20,4,0,not_due,B737-MAX,ESB,heavy
TC-1006,2026-01-02,7,18.8,2025-12-24,9,20,4,0,not_due,B737-MAX,ESB,heavy
TC-1006,2026-01-03,3,8.7,2025-12-24,10,20,4,0,not_due,B737-MAX,ESB,heavy
TC-1006,2026-01-04,8,22.45,2025-12-24,11,20,4,0,not_due,B737-MAX,ESB,heavy
TC-1006,2026-01-05,6,16.9,2025-12-24,12,20,4,0,not_due,B737-MAX,ESB,heavy
TC-1006,2026-01-06,2,6.67,2025-12-24,13,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-07,2,5.31,2025-12-24,14,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-08,5,12.75,2025-12-24,15,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-09,4,12.34,2025-12-24,16,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-10,7,23.6,2025-12-24,17,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-11,1,3.75,2025-12-24,18,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-12,7,18.68,2025-12-24,19,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-13,9,22.32,2025-12-24,20,20,4,1,due_soon,B737-MAX,ESB,heavy
TC-1006,2026-01-14,4,9.75,2025-12-24,21,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-15,3,8.02,2025-12-24,22,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-16,4,11.12,2025-12-24,23,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-17,3,9.72,2025-12-24,24,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-18,3,10.74,2025-12-24,25,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-19,3,11.0,2025-12-24,26,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-20,4,13.22,2025-12-24,27,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-21,6,17.53,2025-12-24,28,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-22,2,5.41,2025-12-24,29,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-23,9,33.82,2025-12-24,30,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-24,1,3.07,2025-12-24,31,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-25,1,2.0,2025-12-24,32,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-26,2,6.61,2025-12-24,33,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-27,3,10.94,2025-12-24,34,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-28,3,10.43,2025-12-24,35,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-29,5,12.19,2025-12-24,36,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1006,2026-01-30,3,7.06,2025-12-24,37,20,4,1,overdue,B737-MAX,ESB,heavy
TC-1007,2026-01-01,0,0.0,2025-12-27,5,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-02,2,0.0,2025-12-27,6,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-03,1,3.75,2025-12-27,7,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-04,2,4.88,2025-12-27,8,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-05,1,3.47,2025-12-27,9,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-06,1,3.66,2025-12-27,10,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-07,1,2.1,2025-12-27,11,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-08,1,2.52,2025-12-27,12,20,3,0,not_due,B737-MAX,AYT,light
TC-1007,2026-01-09,1,3.65,2025-12-27,13,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-10,1,2.54,2025-12-27,14,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-11,1,3.13,2025-12-27,15,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-12,1,2.0,2025-12-27,16,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-13,0,0.0,2025-12-27,17,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-14,1,3.78,2025-12-27,18,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-15,1,3.87,2025-12-27,19,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-16,0,0.0,2025-12-27,20,20,3,1,due_soon,B737-MAX,AYT,light
TC-1007,2026-01-17,1,3.36,2025-12-27,21,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-18,0,0.0,2025-12-27,22,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-19,0,0.0,2025-12-27,23,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-20,0,0.0,2025-12-27,24,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-21,1,2.72,2025-12-27,25,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-22,0,0.0,2025-12-27,26,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-23,0,0.0,2025-12-27,27,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-24,0,0.0,2025-12-27,28,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-25,1,2.21,2025-12-27,29,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-26,0,0.0,2025-12-27,30,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-27,0,0.0,2025-12-27,31,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-28,2,7.99,2025-12-27,32,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-29,0,0.0,2025-12-27,33,20,3,1,overdue,B737-MAX,AYT,light
TC-1007,2026-01-30,0,0.0,2025-12-27,34,20,3,1,overdue,B737-MAX,AYT,light
TC-1008,2026-01-01,2,7.91,2025-12-24,8,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-02,3,8.39,2025-12-24,9,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-03,1,2.64,2025-12-24,10,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-04,1,3.73,2025-12-24,11,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-05,2,5.73,2025-12-24,12,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-06,4,11.61,2025-12-24,13,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-07,3,7.92,2025-12-24,14,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-08,1,2.19,2025-12-24,15,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-09,1,2.78,2025-12-24,16,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-10,1,3.51,2025-12-24,17,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-11,3,10.01,2025-12-24,18,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-12,0,0.0,2025-12-24,19,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-13,3,6.23,2025-12-24,20,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-14,2,6.97,2025-12-24,21,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-15,3,10.72,2025-12-24,22,30,4,0,not_due,B737-800,IST,normal
TC-1008,2026-01-16,2,6.26,2025-12-24,23,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-17,1,3.55,2025-12-24,24,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-18,5,15.94,2025-12-24,25,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-19,2,7.24,2025-12-24,26,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-20,4,10.96,2025-12-24,27,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-21,1,3.59,2025-12-24,28,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-22,2,7.5,2025-12-24,29,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-23,0,0.0,2025-12-24,30,30,4,1,due_soon,B737-800,IST,normal
TC-1008,2026-01-24,2,6.67,2025-12-24,31,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-25,2,5.85,2025-12-24,32,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-26,1,2.28,2025-12-24,33,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-27,1,2.19,2025-12-24,34,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-28,4,13.21,2025-12-24,35,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-29,3,6.22,2025-12-24,36,30,4,1,overdue,B737-800,IST,normal
TC-1008,2026-01-30,3,10.23,2025-12-24,37,30,4,1,overdue,B737-800,IST,normal
TC-1009,2026-01-01,2,7.74,2025-12-26,6,25,4,0,not_due,A330,ADB,normal
TC-1009,2026-01-02,1,2.12,2025-12-26,7,25,4,0,not_due,A330,ADB,normal
TC-1009,2026-01-03,1,3.07,2025-12-26,8,25,4,0,not_due,A330,ADB,normal
TC-1009,2026-01-04,3,6.38,2025-12-26,9,25,4,0,not_due,A330,ADB,normal
